label,fpr,tpr,threshold
Atelectasis,0.21667580910586945,0.2824858757062147,0.6044222
Atelectasis,0.21667580910586945,0.288135593220339,0.6043018
Atelectasis,0.22654964344487108,0.288135593220339,0.598677
Atelectasis,0.22654964344487108,0.2937853107344633,0.59865355
Atelectasis,0.235874931431706,0.2937853107344633,0.5948346
Atelectasis,0.235874931431706,0.2994350282485876,0.5947261
Atelectasis,0.24190894130554033,0.2994350282485876,0.59313834
Atelectasis,0.24190894130554033,0.3050847457627119,0.5929905
Atelectasis,0.24355458036204058,0.3050847457627119,0.5922988
Atelectasis,0.24355458036204058,0.3107344632768362,0.59211445
Atelectasis,0.24684585847504115,0.3107344632768362,0.59120965
Atelectasis,0.24684585847504115,0.3163841807909605,0.5911404
Atelectasis,0.25068568294020843,0.3163841807909605,0.59003437
